customer_id,customer_type,age,gender,area,dietary_preference,spice_preference,avg_spending_npr,loyalty_member,loyalty_status,spending_category
85,Local,26,Female,Koteshwor,Non-Vegetarian,Hot,775,TRUE,Loyal,Medium
86,Local,20,Male,Putalisadak,Vegetarian,Medium,328,FALSE,Non-Loyal,Low
87,Corporate,31,Female,New Baneshwor,Non-Vegetarian,Hot,554,TRUE,Loyal,Medium
88,Local,55,Male,Koteshwor,Non-Vegetarian,Mild,543,FALSE,Non-Loyal,Medium
89,Local,28,Female,Battisputali,No Preference,Mild,595,FALSE,Non-Loyal,Medium
90,Tourist,46,Male,Maharajgunj,Vegetarian,Medium,2052,TRUE,Loyal,High
91,Tourist,40,Male,Kalanki,Non-Vegetarian,Medium,1616,FALSE,Non-Loyal,High
92,Tourist,33,Female,Durbarmarg,Non-Vegetarian,Medium,1460,FALSE,Non-Loyal,High
93,Student,26,Female,Jorpati,No Preference,Medium,258,FALSE,Non-Loyal,Low
94,Local,35,Female,Koteshwor,No Preference,Mild,385,TRUE,Loyal,Low
95,Expat,27,Female,Baluwatar,No Preference,Hot,1293,FALSE,Non-Loyal,High
96,Local,58,Male,Lazimpat,Vegetarian,Medium,919,FALSE,Non-Loyal,Medium
97,Tourist,47,Female,Baluwatar,No Preference,Mild,2350,FALSE,Non-Loyal,High
98,Local,37,Male,Kalimati,Non-Vegetarian,Medium,407,FALSE,Non-Loyal,Low
99,Corporate,47,Female,Kalimati,Vegetarian,Medium,1107,TRUE,Loyal,High
100,Local,48,Female,Balkhu,Vegetarian,Medium,571,FALSE,Non-Loyal,Medium
101,Local,58,Male,Koteshwor,Non-Vegetarian,Hot,988,TRUE,Loyal,Medium
102,Student,19,Female,Balkhu,Non-Vegetarian,Mild,392,FALSE,Non-Loyal,Low
103,Local,43,Male,Bouddha,Vegetarian,Hot,360,FALSE,Non-Loyal,Low
104,Student,25,Female,Baluwatar,Non-Vegetarian,Medium,352,TRUE,Loyal,Low
105,Corporate,46,Male,Battisputali,Non-Vegetarian,Medium,829,TRUE,Loyal,Medium
106,Local,22,Female,Thamel,No Preference,Hot,353,FALSE,Non-Loyal,Low
107,Tourist,63,Male,Maharajgunj,Non-Vegetarian,Mild,1968,TRUE,Loyal,High
108,Local,44,Male,Putalisadak,Non-Vegetarian,Medium,909,TRUE,Loyal,Medium
109,Local,28,Female,Putalisadak,Vegetarian,Hot,469,FALSE,Non-Loyal,Low
110,Expat,53,Female,Kalanki,Non-Vegetarian,Medium,1027,FALSE,Non-Loyal,High
111,Corporate,40,Male,Jorpati,Non-Vegetarian,Mild,1092,FALSE,Non-Loyal,High
112,Tourist,24,Female,Maharajgunj,Non-Vegetarian,Medium,2112,FALSE,Non-Loyal,High
113,Local,32,Male,Chabahil,No Preference,Medium,469,FALSE,Non-Loyal,Low
114,Local,50,Male,Kalimati,No Preference,Mild,662,TRUE,Loyal,Medium
115,Student,24,Female,Thamel,Vegetarian,Mild,354,TRUE,Loyal,Low
116,Local,43,Female,Kalanki,No Preference,Mild,766,FALSE,Non-Loyal,Medium
117,Student,22,Female,Baluwatar,Vegetarian,Hot,551,TRUE,Loyal,Medium
118,Expat,41,Female,Chabahil,Non-Vegetarian,Medium,721,FALSE,Non-Loyal,Medium
119,Corporate,39,Female,Bouddha,No Preference,Hot,726,TRUE,Loyal,Medium
120,Local,25,Female,Kalanki,Non-Vegetarian,Hot,758,TRUE,Loyal,Medium
121,Local,23,Female,Jorpati,Non-Vegetarian,Medium,338,FALSE,Non-Loyal,Low
122,Local,21,Male,Thamel,No Preference,Mild,758,FALSE,Non-Loyal,Medium
123,Local,48,Male,Battisputali,No Preference,Medium,383,FALSE,Non-Loyal,Low
124,Local,57,Female,Bouddha,Non-Vegetarian,Mild,823,FALSE,Non-Loyal,Medium
125,Corporate,38,Female,Koteshwor,Non-Vegetarian,Mild,1019,FALSE,Non-Loyal,High
126,Local,48,Female,Koteshwor,Vegetarian,Mild,677,FALSE,Non-Loyal,Medium
127,Local,26,Male,Battisputali,Vegetarian,Medium,820,TRUE,Loyal,Medium
128,Expat,21,Male,Lazimpat,No Preference,Medium,1420,FALSE,Non-Loyal,High
129,Local,50,Female,Chabahil,Non-Vegetarian,Medium,401,FALSE,Non-Loyal,Low
130,Local,36,Male,New Baneshwor,Vegetarian,Medium,762,TRUE,Loyal,Medium
131,Local,59,Female,Battisputali,Vegetarian,Medium,301,FALSE,Non-Loyal,Low
132,Local,45,Female,Lazimpat,Non-Vegetarian,Mild,389,FALSE,Non-Loyal,Low
133,Local,59,Female,Kalimati,Non-Vegetarian,Hot,308,FALSE,Non-Loyal,Low
134,Local,31,Female,Balkhu,No Preference,Hot,617,FALSE,Non-Loyal,Medium
135,Local,39,Male,Maharajgunj,Non-Vegetarian,Medium,321,TRUE,Loyal,Low
136,Local,33,Female,Battisputali,Vegetarian,Mild,386,FALSE,Non-Loyal,Low
137,Local,55,Female,Maharajgunj,Non-Vegetarian,Hot,608,TRUE,Loyal,Medium
138,Local,38,Female,Kalanki,Non-Vegetarian,Hot,358,FALSE,Non-Loyal,Low
139,Local,34,Male,Putalisadak,Non-Vegetarian,Medium,458,FALSE,Non-Loyal,Low
140,Local,39,Female,Kalanki,Non-Vegetarian,Medium,907,FALSE,Non-Loyal,Medium
141,Local,21,Male,Maharajgunj,Non-Vegetarian,Hot,594,TRUE,Loyal,Medium
142,Local,22,Male,Koteshwor,Non-Vegetarian,Medium,819,TRUE,Loyal,Medium
143,Local,33,Male,Bouddha,Non-Vegetarian,Medium,852,FALSE,Non-Loyal,Medium
144,Tourist,60,Female,Battisputali,Non-Vegetarian,Mild,1637,FALSE,Non-Loyal,High
145,Local,56,Male,Jorpati,Vegetarian,Medium,759,TRUE,Loyal,Medium
146,Local,29,Male,Koteshwor,Vegetarian,Mild,904,TRUE,Loyal,Medium
147,Local,27,Male,Bouddha,Non-Vegetarian,Hot,875,TRUE,Loyal,Medium
148,Expat,56,Female,New Baneshwor,Non-Vegetarian,Hot,855,TRUE,Loyal,Medium
149,Local,33,Male,Thamel,Vegetarian,Medium,319,TRUE,Loyal,Low
150,Local,24,Male,Durbarmarg,Vegetarian,Medium,311,FALSE,Non-Loyal,Low
151,Expat,53,Male,Balkhu,Non-Vegetarian,Hot,1762,FALSE,Non-Loyal,High
152,Local,57,Female,Kalanki,Vegetarian,Mild,607,FALSE,Non-Loyal,Medium
153,Local,40,Male,Balkhu,Vegetarian,Medium,651,TRUE,Loyal,Medium
154,Expat,45,Female,Balkhu,Non-Vegetarian,Mild,1868,FALSE,Non-Loyal,High
155,Local,27,Male,Koteshwor,No Preference,Hot,300,FALSE,Non-Loyal,Low
156,Expat,45,Male,Battisputali,Non-Vegetarian,Mild,1403,FALSE,Non-Loyal,High
157,Corporate,37,Male,Lazimpat,No Preference,Medium,988,FALSE,Non-Loyal,Medium
158,Local,57,Female,Maharajgunj,Non-Vegetarian,Hot,696,FALSE,Non-Loyal,Medium
159,Local,26,Female,Balkhu,Vegetarian,Medium,375,FALSE,Non-Loyal,Low
160,Local,44,Male,Kalanki,Non-Vegetarian,Medium,590,FALSE,Non-Loyal,Medium
161,Local,33,Female,Putalisadak,Non-Vegetarian,Medium,302,FALSE,Non-Loyal,Low
162,Local,48,Female,Bouddha,Non-Vegetarian,Medium,603,FALSE,Non-Loyal,Medium
163,Local,42,Male,Kalimati,No Preference,Hot,726,FALSE,Non-Loyal,Medium
164,Student,22,Male,Baluwatar,No Preference,Mild,402,FALSE,Non-Loyal,Low
165,Local,53,Male,Chabahil,Vegetarian,Medium,672,FALSE,Non-Loyal,Medium
166,Tourist,29,Male,Jorpati,Non-Vegetarian,Medium,2481,FALSE,Non-Loyal,High
167,Local,30,Female,Kalimati,Vegetarian,Hot,338,TRUE,Loyal,Low
168,Student,27,Female,Thamel,No Preference,Medium,573,FALSE,Non-Loyal,Medium
169,Tourist,34,Female,Kalanki,Non-Vegetarian,Medium,1525,TRUE,Loyal,High
170,Tourist,63,Male,Baluwatar,No Preference,Mild,1977,TRUE,Loyal,High
171,Student,24,Male,Kalimati,Non-Vegetarian,Mild,363,FALSE,Non-Loyal,Low
172,Local,54,Male,Durbarmarg,No Preference,Medium,960,FALSE,Non-Loyal,Medium
173,Tourist,53,Female,Koteshwor,Non-Vegetarian,Mild,1900,TRUE,Loyal,High
174,Local,26,Male,Battisputali,Non-Vegetarian,Medium,673,FALSE,Non-Loyal,Medium
175,Corporate,38,Female,Jorpati,Vegetarian,Hot,1053,TRUE,Loyal,High
176,Local,52,Male,Battisputali,Non-Vegetarian,Medium,652,FALSE,Non-Loyal,Medium
177,Local,21,Female,New Baneshwor,Non-Vegetarian,Mild,459,FALSE,Non-Loyal,Low
178,Expat,22,Female,Thamel,Vegetarian,Mild,1895,FALSE,Non-Loyal,High
179,Local,27,Male,Balkhu,Non-Vegetarian,Mild,752,FALSE,Non-Loyal,Medium
180,Local,49,Male,Putalisadak,Non-Vegetarian,Hot,956,FALSE,Non-Loyal,Medium
181,Corporate,37,Female,Putalisadak,Vegetarian,Hot,1129,FALSE,Non-Loyal,High
182,Local,49,Female,Thamel,Non-Vegetarian,Medium,755,FALSE,Non-Loyal,Medium
183,Tourist,55,Male,Lazimpat,Vegetarian,Mild,2486,FALSE,Non-Loyal,High
184,Local,28,Female,Lazimpat,Non-Vegetarian,Hot,706,FALSE,Non-Loyal,Medium
185,Corporate,35,Male,Balkhu,Non-Vegetarian,Medium,743,FALSE,Non-Loyal,Medium
186,Tourist,56,Female,Kalimati,No Preference,Mild,2285,TRUE,Loyal,High
187,Local,40,Female,Lazimpat,Vegetarian,Mild,765,FALSE,Non-Loyal,Medium
188,Student,26,Male,Koteshwor,Non-Vegetarian,Medium,294,FALSE,Non-Loyal,Low
189,Student,21,Female,Lazimpat,Non-Vegetarian,Medium,224,TRUE,Loyal,Low
190,Local,44,Female,Bouddha,Non-Vegetarian,Mild,311,TRUE,Loyal,Low
191,Tourist,39,Male,Koteshwor,Non-Vegetarian,Medium,1471,FALSE,Non-Loyal,High
192,Local,50,Male,Chabahil,Vegetarian,Hot,644,FALSE,Non-Loyal,Medium
193,Tourist,36,Male,Bouddha,No Preference,Mild,1922,TRUE,Loyal,High
194,Local,35,Male,Durbarmarg,Non-Vegetarian,Medium,914,FALSE,Non-Loyal,Medium
195,Local,55,Female,Balkhu,Non-Vegetarian,Medium,362,FALSE,Non-Loyal,Low
196,Local,26,Female,New Baneshwor,Non-Vegetarian,Medium,754,FALSE,Non-Loyal,Medium
197,Local,46,Female,Kalanki,Non-Vegetarian,Hot,960,TRUE,Loyal,Medium
198,Tourist,34,Male,Durbarmarg,Vegetarian,Mild,2036,FALSE,Non-Loyal,High
199,Local,54,Male,Durbarmarg,Non-Vegetarian,Medium,607,FALSE,Non-Loyal,Medium
200,Local,37,Female,Kalanki,Non-Vegetarian,Medium,735,FALSE,Non-Loyal,Medium
201,Student,26,Female,Bouddha,Vegetarian,Medium,624,TRUE,Loyal,Medium
202,Local,59,Male,Thamel,Non-Vegetarian,Medium,499,TRUE,Loyal,Low
203,Tourist,40,Female,Jorpati,Vegetarian,Hot,886,TRUE,Loyal,Medium
204,Expat,20,Male,Baluwatar,Vegetarian,Mild,1363,FALSE,Non-Loyal,High
205,Local,55,Female,Maharajgunj,Non-Vegetarian,Hot,690,TRUE,Loyal,Medium
206,Local,49,Male,Bouddha,No Preference,Mild,437,FALSE,Non-Loyal,Low
207,Student,25,Male,Baluwatar,Non-Vegetarian,Medium,633,FALSE,Non-Loyal,Medium
208,Student,26,Female,Durbarmarg,No Preference,Medium,454,TRUE,Loyal,Low
209,Local,21,Female,Bouddha,Non-Vegetarian,Medium,650,TRUE,Loyal,Medium
210,Local,36,Male,Koteshwor,No Preference,Mild,964,FALSE,Non-Loyal,Medium
211,Tourist,43,Male,Koteshwor,Non-Vegetarian,Hot,1995,TRUE,Loyal,High
212,Corporate,47,Male,Jorpati,No Preference,Medium,1442,TRUE,Loyal,High
213,Corporate,38,Male,New Baneshwor,Non-Vegetarian,Hot,735,FALSE,Non-Loyal,Medium
214,Local,47,Female,Baluwatar,Vegetarian,Mild,840,FALSE,Non-Loyal,Medium
215,Local,42,Female,Thamel,No Preference,Hot,982,FALSE,Non-Loyal,Medium
216,Local,38,Female,Durbarmarg,Vegetarian,Mild,407,TRUE,Loyal,Low
217,Local,35,Female,Putalisadak,No Preference,Hot,814,TRUE,Loyal,Medium
218,Student,19,Female,Chabahil,Non-Vegetarian,Medium,583,TRUE,Loyal,Medium
219,Local,32,Female,New Baneshwor,Non-Vegetarian,Medium,533,FALSE,Non-Loyal,Medium
220,Local,53,Female,Durbarmarg,No Preference,Medium,369,TRUE,Loyal,Low
221,Local,23,Male,New Baneshwor,Non-Vegetarian,Hot,526,FALSE,Non-Loyal,Medium
222,Expat,40,Female,Baluwatar,Vegetarian,Mild,887,FALSE,Non-Loyal,Medium
223,Student,20,Female,Putalisadak,Vegetarian,Medium,254,FALSE,Non-Loyal,Low
224,Expat,37,Male,Koteshwor,Non-Vegetarian,Mild,1614,TRUE,Loyal,High
225,Expat,31,Female,Maharajgunj,No Preference,Hot,1626,FALSE,Non-Loyal,High
226,Local,52,Female,Chabahil,Vegetarian,Mild,775,FALSE,Non-Loyal,Medium
227,Local,52,Male,New Baneshwor,Non-Vegetarian,Medium,346,FALSE,Non-Loyal,Low
228,Expat,58,Male,Lazimpat,Non-Vegetarian,Medium,1199,TRUE,Loyal,High
229,Expat,49,Female,Kalanki,No Preference,Medium,1262,FALSE,Non-Loyal,High
230,Local,24,Male,Durbarmarg,No Preference,Mild,348,FALSE,Non-Loyal,Low
231,Tourist,60,Female,New Baneshwor,No Preference,Hot,1591,TRUE,Loyal,High
232,Local,50,Male,Koteshwor,No Preference,Medium,707,TRUE,Loyal,Medium
233,Local,47,Female,Kalanki,No Preference,Hot,699,FALSE,Non-Loyal,Medium
234,Local,28,Female,Chabahil,Non-Vegetarian,Mild,895,TRUE,Loyal,Medium
235,Tourist,54,Male,Putalisadak,No Preference,Mild,2222,FALSE,Non-Loyal,High
236,Local,26,Female,Kalanki,Non-Vegetarian,Hot,441,FALSE,Non-Loyal,Low
237,Local,42,Female,Bouddha,Vegetarian,Medium,670,TRUE,Loyal,Medium
238,Local,23,Female,Thamel,Non-Vegetarian,Mild,897,FALSE,Non-Loyal,Medium
239,Local,47,Female,Lazimpat,Non-Vegetarian,Mild,897,TRUE,Loyal,Medium
240,Local,20,Female,Lazimpat,Non-Vegetarian,Mild,321,TRUE,Loyal,Low
241,Student,20,Female,New Baneshwor,Non-Vegetarian,Medium,543,FALSE,Non-Loyal,Medium
242,Local,51,Female,Baluwatar,Non-Vegetarian,Mild,682,FALSE,Non-Loyal,Medium
243,Local,40,Male,Kalanki,Non-Vegetarian,Mild,680,FALSE,Non-Loyal,Medium
244,Tourist,23,Female,Baluwatar,Vegetarian,Mild,1867,FALSE,Non-Loyal,High
245,Local,42,Male,Bouddha,No Preference,Medium,606,FALSE,Non-Loyal,Medium
246,Local,47,Female,Balkhu,No Preference,Medium,371,TRUE,Loyal,Low
247,Student,19,Male,Maharajgunj,Vegetarian,Medium,467,FALSE,Non-Loyal,Low
248,Student,25,Female,Bouddha,Non-Vegetarian,Medium,207,FALSE,Non-Loyal,Low
249,Local,49,Male,Chabahil,Non-Vegetarian,Mild,843,FALSE,Non-Loyal,Medium
250,Corporate,37,Male,Bouddha,No Preference,Medium,768,FALSE,Non-Loyal,Medium
251,Local,46,Female,Lazimpat,Non-Vegetarian,Mild,495,TRUE,Loyal,Low
252,Local,54,Female,New Baneshwor,Vegetarian,Hot,671,FALSE,Non-Loyal,Medium
253,Local,30,Male,Lazimpat,No Preference,Medium,756,FALSE,Non-Loyal,Medium
254,Student,27,Male,Durbarmarg,Non-Vegetarian,Mild,417,FALSE,Non-Loyal,Low
255,Corporate,43,Male,New Baneshwor,Non-Vegetarian,Hot,1452,FALSE,Non-Loyal,High
256,Student,20,Male,Putalisadak,Vegetarian,Hot,617,TRUE,Loyal,Medium
257,Expat,25,Male,Balkhu,No Preference,Mild,1667,TRUE,Loyal,High
258,Student,23,Male,Koteshwor,Non-Vegetarian,Mild,512,FALSE,Non-Loyal,Medium
259,Corporate,41,Female,Maharajgunj,No Preference,Hot,1344,FALSE,Non-Loyal,High
260,Expat,42,Male,Baluwatar,Vegetarian,Medium,1257,FALSE,Non-Loyal,High
261,Local,38,Male,Putalisadak,No Preference,Mild,895,FALSE,Non-Loyal,Medium
262,Corporate,47,Female,Kalanki,Vegetarian,Hot,1121,FALSE,Non-Loyal,High
263,Student,24,Female,Bouddha,Non-Vegetarian,Medium,323,FALSE,Non-Loyal,Low
264,Local,57,Male,Thamel,Vegetarian,Mild,764,FALSE,Non-Loyal,Medium
265,Local,30,Female,Baluwatar,Vegetarian,Mild,633,TRUE,Loyal,Medium
266,Student,19,Female,Balkhu,Non-Vegetarian,Medium,624,TRUE,Loyal,Medium
267,Local,49,Female,Balkhu,Non-Vegetarian,Medium,793,FALSE,Non-Loyal,Medium
268,Local,56,Female,Baluwatar,Non-Vegetarian,Mild,500,FALSE,Non-Loyal,Medium
269,Local,51,Male,New Baneshwor,Non-Vegetarian,Medium,730,FALSE,Non-Loyal,Medium
270,Student,26,Female,Maharajgunj,Non-Vegetarian,Mild,605,FALSE,Non-Loyal,Medium
271,Student,20,Male,Bouddha,Non-Vegetarian,Medium,227,FALSE,Non-Loyal,Low
272,Expat,21,Male,New Baneshwor,Non-Vegetarian,Medium,1810,TRUE,Loyal,High
273,Local,31,Male,Thamel,Non-Vegetarian,Hot,766,FALSE,Non-Loyal,Medium
274,Local,54,Male,New Baneshwor,Vegetarian,Medium,988,FALSE,Non-Loyal,Medium
275,Local,27,Male,Durbarmarg,Vegetarian,Mild,901,FALSE,Non-Loyal,Medium
276,Tourist,64,Male,Battisputali,Vegetarian,Mild,2167,FALSE,Non-Loyal,High
277,Tourist,60,Male,Chabahil,Non-Vegetarian,Mild,1578,TRUE,Loyal,High
278,Local,20,Female,Durbarmarg,Non-Vegetarian,Hot,883,TRUE,Loyal,Medium
279,Expat,52,Female,Battisputali,No Preference,Hot,1973,FALSE,Non-Loyal,High
280,Local,42,Male,Koteshwor,Vegetarian,Hot,957,FALSE,Non-Loyal,Medium
281,Expat,56,Female,Bouddha,Vegetarian,Medium,1807,TRUE,Loyal,High
282,Local,58,Male,Chabahil,Non-Vegetarian,Medium,501,FALSE,Non-Loyal,Medium
283,Tourist,30,Female,Durbarmarg,Non-Vegetarian,Medium,1907,FALSE,Non-Loyal,High
284,Local,35,Male,Thamel,No Preference,Hot,567,TRUE,Loyal,Medium
285,Local,56,Male,Putalisadak,Vegetarian,Medium,522,FALSE,Non-Loyal,Medium
286,Student,23,Male,Durbarmarg,No Preference,Medium,628,FALSE,Non-Loyal,Medium
287,Tourist,55,Female,Balkhu,Non-Vegetarian,Mild,1995,TRUE,Loyal,High
288,Student,27,Female,Kalimati,Non-Vegetarian,Mild,579,FALSE,Non-Loyal,Medium
289,Local,26,Female,Maharajgunj,Vegetarian,Hot,492,TRUE,Loyal,Low
290,Tourist,49,Male,Thamel,Vegetarian,Mild,2298,TRUE,Loyal,High
291,Student,25,Female,Balkhu,Non-Vegetarian,Mild,403,FALSE,Non-Loyal,Low
292,Local,24,Female,Baluwatar,Non-Vegetarian,Hot,878,TRUE,Loyal,Medium
293,Local,46,Male,Koteshwor,Vegetarian,Mild,424,TRUE,Loyal,Low
294,Student,22,Male,Lazimpat,No Preference,Medium,286,FALSE,Non-Loyal,Low
295,Corporate,37,Male,New Baneshwor,Non-Vegetarian,Mild,1412,FALSE,Non-Loyal,High
296,Local,32,Female,Maharajgunj,Non-Vegetarian,Hot,678,TRUE,Loyal,Medium
297,Local,40,Female,Baluwatar,Non-Vegetarian,Medium,599,TRUE,Loyal,Medium
